,country,year,c_consumed,c_produced,hdi
99,Brazil,2000,0.66785007,0.634324171,0.685
100,Brunei Darussalam,2000,4.294119987,4.599324138,0.802
101,Myanmar,2000,0.089692361,0.067298482,0.414
102,Cameroon,2000,0.129353828,0.07339638,0.44
103,Canada,2000,5.3639077660000005,6.045488142000001,0.867
104,Sri Lanka,2000,0.34478747200000004,0.199384737,0.691
105,Chile,2000,1.085398807,1.170345451,0.756
106,Colombia,2000,0.5561139310000001,0.49842308,0.666
107,Congo,2000,0.094616184,0.052817065,0.461
108,Costa Rica,2000,0.8049902529999999,0.4331594,0.721
109,Cuba,2000,1.0074742559999998,0.8671878340000001,0.691
110,Azerbaijan,2000,1.1452641140000002,1.15345182,0.635
111,Benin,2000,0.19052834899999999,0.074343946,0.416
112,Denmark,2000,4.247573951000001,3.347135208,0.87
113,Dominican Republic,2000,0.971358226,0.7471894840000001,0.659
114,Belarus,2000,2.088991175,1.901462194,0.686
115,El Salvador,2000,0.623867506,0.324742441,0.615
116,Estonia,2000,3.0427693639999998,3.698012068,0.787
117,Fiji,2000,0.651148804,0.353982807,0.695
118,France,2000,3.0747292280000003,2.235973772,0.849
119,Gambia,2000,0.20800023899999998,0.067907089,0.403
120,Germany,2000,3.688350269,3.559802382,0.876
121,Bosnia and Herzegovina,2000,1.266087123,1.283670707,0.679
122,Ghana,2000,0.196037126,0.10935695,0.494
123,Greece,2000,3.6149119560000003,2.924937383,0.804
124,Guyana,2000,0.98718826,0.7275964340000001,0.616
125,Haiti,2000,0.110323448,0.063612689,0.442
126,Croatia,2000,1.8290525780000002,1.4737914280000002,0.757
127,India,2000,0.327002743,0.310247604,0.495
128,Indonesia,2000,0.44787884299999997,0.449285321,0.603
129,Israel,2000,3.7010763819999997,3.3382832280000003,0.861
130,Italy,2000,3.3647986710000004,2.6656707330000002,0.838
131,Côte d'Ivoire,2000,0.18501397,0.134652632,0.421
132,Kazakhstan,2000,1.6023017569999998,2.6454415730000003,0.685
133,Japan,2000,3.6359211260000004,3.2335915760000002,0.858
134,Jordan,2000,0.9980739609999999,1.020151092,0.711
135,Kenya,2000,0.141301575,0.091941256,0.461
136,Kuwait,2000,2.4291062969999997,8.165380336,0.781
137,Latvia,2000,1.1701117109999999,1.027894111,0.735
138,Lao People's Democratic Republic,2000,0.10770043900000001,0.059974192999999995,0.471
139,Lebanon,2000,2.436512299,1.5983364130000002,NaN
140,Lesotho,2000,0.48475779,0.33740103,0.459
141,Lithuania,2000,1.5805642290000002,1.116492316,0.762
142,Madagascar,2000,0.05775117900000001,0.040464292,0.462
143,Malawi,2000,0.038702248,0.026010322000000002,0.388
144,Malaysia,2000,1.7106925240000002,1.829842484,0.723
145,Mexico,2000,1.46482805,1.287020303,0.708
146,Nepal,2000,0.108268848,0.047306875,0.453
147,Netherlands,2000,4.394187941,3.7384798580000003,0.882
148,Nicaragua,2000,0.39817945,0.250538461,0.577
149,Nigeria,2000,0.15262631599999998,0.126076101,NaN
150,Norway,2000,1.789979257,3.0170652660000004,0.915
151,Pakistan,2000,0.283482454,0.254149489,0.447
152,Panama,2000,0.9111522329999999,0.584040939,0.735
153,Paraguay,2000,0.438724658,0.23094894800000002,0.643
154,Peru,2000,0.324446981,0.36903301299999997,0.679
155,Philippines,2000,0.448388401,0.323222362,0.632
156,Poland,2000,2.609761282,2.686247046,0.79
157,Portugal,2000,2.895113685,2.092323371,0.792
158,Qatar,2000,9.240216896,14.45353187,0.816
159,Zimbabwe,2000,0.542161129,0.398116178,0.43
160,Romania,2000,1.30150269,1.458681057,0.716
161,Rwanda,2000,0.033798636,0.022401347999999998,0.341
162,Russian Federation,2000,3.226863401,3.633632557,0.722
163,Saint Lucia,2000,1.531196134,0.715943158,0.695
164,Saudi Arabia,2000,2.627520543,4.1908077960000005,0.743
165,Slovenia,2000,3.172490885,2.584105115,0.832
166,Slovakia,2000,2.479340986,2.5885627319999998,0.765
167,Singapore,2000,6.95193791,3.9041120030000003,0.821
168,Spain,2000,3.160259284,2.523349221,0.832
169,Suriname,2000,1.358077947,1.081988929,NaN
170,Sweden,2000,3.407869538,2.137881483,0.903
171,Switzerland,2000,3.877899932,2.108602354,0.898
172,Syrian Arab Republic,2000,0.776685665,0.813022652,0.6
173,Thailand,2000,0.8812532390000001,0.9118158000000002,0.652
174,Togo,2000,0.149340399,0.081857044,0.427
175,Oman,2000,2.070087031,3.1532842480000003,0.693
176,Tunisia,2000,0.7973803309999999,0.7147220470000001,0.651
177,Turkey,2000,1.460334171,1.201329438,0.66
178,United Arab Emirates,2000,9.884730674,9.201177944,0.782
179,Uganda,2000,0.032671407,0.020255238999999998,0.404
180,United Kingdom,2000,3.8159364539999996,3.119637997,0.874
181,Uzbekistan,2000,1.642154237,1.6143256769999998,0.599
182,Viet Nam,2000,0.311537719,0.220454125,0.586
183,Ethiopia,2000,0.030498007999999997,0.018395308,0.292
184,Zambia,2000,0.10085373800000001,0.064518529,0.425
185,Belgium,2000,4.750367071,4.099397274,0.88
186,Luxembourg,2000,11.72528681,6.864943907000001,0.86
187,China,2000,1.013073799,0.991957028,0.588
188,Armenia,2010,0.805531177,0.521759857,0.747
189,Afghanistan,2010,0.14723211,0.10502057,0.472
190,Albania,2010,1.063703673,0.546310808,0.745
191,Angola,2010,0.268001669,0.238666615,0.517
192,Argentina,2010,1.257313215,1.589256983,0.829
193,Australia,2010,5.554462149,6.5548677070000005,0.93
194,Austria,2010,4.271346483,3.1144754989999996,0.904
195,Bahamas,2010,1.9456492490000001,1.6381391459999999,0.805
196,Bahrain,2010,9.582981787000001,8.203112195,0.8
197,Barbados,2010,3.435049663,1.889275645,0.797
198,Bangladesh,2010,0.229578425,0.134682623,0.557
199,Bhutan,2010,0.264136308,0.23955970899999998,0.574
200,Botswana,2010,1.757927724,0.620822202,0.663
201,Brazil,2010,0.822201988,0.758653505,0.727
202,Brunei Darussalam,2010,3.818959373,6.440955205,0.827
203,Myanmar,2010,0.089945421,0.058448245,0.515
204,Cameroon,2010,0.1950433,0.100169761,0.505
205,Canada,2010,5.785142225,5.815366605,0.901
206,Sri Lanka,2010,0.432571714,0.23355044600000002,0.754
207,Chile,2010,1.6614884669999999,1.549726861,0.803
208,Colombia,2010,0.635465238,0.49811289700000005,0.729
209,Congo,2010,0.21147289100000002,0.146775148,0.52
210,Costa Rica,2010,1.0065304240000001,0.558158766,0.765
211,Cuba,2010,1.2438020379999999,0.95595979,0.781
212,Azerbaijan,2010,1.002651347,0.9540397559999999,0.726
213,Benin,2010,0.377279004,0.19801495600000002,0.494
214,Denmark,2010,3.774335132,3.102925499,0.917
215,Dominican Republic,2010,0.92049166,0.740029481,0.706
216,Belarus,2010,2.637879187,2.432668335,0.795
217,El Salvador,2010,0.735452255,0.36511990299999997,0.668
218,Estonia,2010,3.256805455,5.073866001,0.852
219,Fiji,2010,0.8060985890000001,0.507516679,0.715
220,France,2010,3.1034746839999996,2.091158084,0.879
221,Gambia,2010,0.242324802,0.091395,0.459
222,Germany,2010,3.694401108,3.527728264,0.927
223,Bosnia and Herzegovina,2010,1.721013568,2.064752356,0.721
224,Ghana,2010,0.32722314199999997,0.164723487,0.565
225,Greece,2010,3.18767182,2.7879565389999996,0.865
226,Guyana,2010,0.889208496,0.8233599309999999,0.649
227,Haiti,2010,0.126013644,0.08216692,0.471
228,Croatia,2010,2.323541009,1.6995176669999998,0.815
229,India,2010,0.531741064,0.49638785,0.579
